"Seg ID","Hwy Seg Type","Two-Lane Seg Type","# Dir Lanes","Length (ft)","Grade (%)","Vertical Align Class","# Horiz Curves","Posted Speed (mi/h)"
1,Two-Lane Highway,PassingConstrained,1,1515,<2,1,R>3000 ft,70
2,Two-Lane Highway,PassingZone,1,2670,<2,1,R>3000 ft,55
3,Two-Lane Highway,PassingConstrained,1,530,<2,1,R>3000 ft,55
4,Two-Lane Highway,PassingConstrained,1,530,<2,1,R>3000 ft,45
5,Two-Lane Highway,PassingConstrained,1,2650,<2,1,R>3000 ft,45
6,Two-Lane Highway,PassingConstrained,1,1580,<2,1,R>3000 ft,35
7,Two-Lane Highway,PassingConstrained,1,530,<2,1,R>3000 ft,25
8,AWSC,NA,1,85,<2,1,R>3000 ft,25
9,Two-Lane Highway,PassingConstrained,1,965,<2,1,R>3000 ft,25
10,Two-Lane Highway,PassingConstrained,1,1580,<2,1,R>3000 ft,35
11,Two-Lane Highway,PassingConstrained,1,2100,<2,1,R>3000 ft,45
12,Two-Lane Highway,PassingConstrained,1,3170,<2,1,R>3000 ft,55
13,Two-Lane Highway,PassingZone,1,5500,<2,1,R>3000 ft,70
14,Two-Lane Highway,PassingConstrained,1,3700,<2,1,R>3000 ft,70
15,Two-Lane Highway,PassingZone,1,9500,<2,1,R>3000 ft,70
16,Two-Lane Highway,PassingConstrained,1,4225,<2,1,R>3000 ft,70
17,Two-Lane Highway,PassingZone,1,5280,<2,1,R>3000 ft,70
18,Two-Lane Highway,PassingLane,2,12670,<2,1,R>3000 ft,70
19,Two-Lane Highway,PassingConstrained,1,1056,<2,1,R>3000 ft,70
20,Two-Lane Highway,PassingZone,1,13730,<2,1,R>3000 ft,70
21,Two-Lane Highway,PassingConstrained,1,4225,<2,1,R>3000 ft,70
22,Two-Lane Highway,PassingZone,1,4225,<2,1,R>3000 ft,55
23,Two-Lane Highway,PassingConstrained,1,3170,<2,1,R>3000 ft,70
24,Two-Lane Highway,PassingZone,1,13728,<2,1,R>3000 ft,70
25,Two-Lane Highway,PassingConstrained,1,4750,<2,1,R>3000 ft,70
26,Two-Lane Highway,PassingLane,2,7400,<2,1,R>3000 ft,55
27,Two-Lane Highway,PassingConstrained,1,3700,<2,1,R>3000 ft,70
28,Two-Lane Highway,PassingZone,1,4750,<2,1,R>3000 ft,70
29,Two-Lane Highway,PassingConstrained,1,1590,<2,1,R>3000 ft,70
30,Two-Lane Highway,PassingZone,1,2100,<2,1,R>3000 ft,55
31,Two-Lane Highway,PassingConstrained,1,3170,<2,1,R>3000 ft,70
32,Two-Lane Highway,PassingZone,1,19536,<2,1,R>3000 ft,70
33,Two-Lane Highway,PassingConstrained,1,4752,<2,1,R>3000 ft,40
34,Two-Lane Highway,PassingConstrained,1,5800,<2,1,R>3000 ft,55
35,Signalized Intersection,NA,2,120,<2,1,R>3000 ft,45
36,Multilane Highway,NA,2,3580,<2,1,R>3000 ft,45
37,Signalized Intersection,NA,2,120,<2,1,R>3000 ft,45
38,Multilane Highway,NA,2,3050,<2,1,R>3000 ft,55
