"Seg ID","Hwy Seg Type","Two-Lane Seg Type","# Dir Lanes","Length (mi)","Eff. Len. Upstream (mi)","Eff. Len. Downstream (mi)","Adj. Length (mi)","Posted Speed (mi/h)","Dir Volume (veh/h)","Opp Volume (veh/h)","PHF","Dir Truck%","Analysis Flow Rate (veh/h/ln)","Analysis Flow Rate (pc/h/ln)","Vertical Align Class","FFS (mi/h)","Free-Flow Trav Time (s)","Avg Speed (mi/h)","Avg Travel Time (s)"
1,TwoLaneHwy,PassingConstrained,1,0.2869,---,---,0.2869,70,289,193,0.95,6,304.2,---,1,79.6,12.98,77.11,13.39
2,TwoLaneHwy,PassingZone,1,0.5057,---,---,0.5057,55,289,193,0.95,6,304.2,---,1,62.5,29.13,60.94,29.87
3,TwoLaneHwy,PassingConstrained,1,0.1004,---,---,0.1004,55,494,329,0.95,3.6,520,---,1,62.58,5.78,59.86,6.04
4,TwoLaneHwy,PassingConstrained,1,0.1004,---,---,0.1004,45,494,329,0.95,3.4,520,---,1,51.19,7.06,48.9,7.39
5,TwoLaneHwy,PassingConstrained,1,0.5019,---,---,0.5019,45,494,329,0.95,3.6,520,---,1,51.18,35.3,48.88,36.97
6,TwoLaneHwy,PassingConstrained,1,0.2992,---,---,0.2992,35,494,329,0.95,3.6,520,---,1,39.78,27.08,37.92,28.4
7,TwoLaneHwy,PassingConstrained,1,0.1004,---,---,0.0718,25,494,329,0.95,5,520,---,1,28.33,9.12,26.91,9.61
8,AWSCIntersection,---,1,0.0161,0.0286,0.0237,0.0523,25,497,---,0.95,3,523.2,---,---,27.5,6.84,5.72,32.92
9,TwoLaneHwy,PassingConstrained,1,0.1828,---,---,0.1752,25,497,331,0.95,6,523.2,---,1,28.3,22.29,26.87,23.47
10,TwoLaneHwy,PassingConstrained,1,0.2992,---,---,0.2992,35,497,331,0.95,6,523.2,---,1,39.7,27.13,37.84,28.47
11,TwoLaneHwy,PassingConstrained,1,0.3977,---,---,0.3977,45,473,315,0.95,6,497.9,---,1,51.1,28.02,48.86,29.3
12,TwoLaneHwy,PassingConstrained,1,0.6004,---,---,0.6004,55,473,315,0.95,6,497.9,---,1,62.5,34.58,59.83,36.13
13,TwoLaneHwy,PassingZone,1,1.0417,---,---,1.0417,70,424,283,0.95,4.2,446.3,---,1,79.66,47.08,76.97,48.72
14,TwoLaneHwy,PassingConstrained,1,0.701,---,---,0.701,70,424,283,0.95,4.2,446.3,---,1,79.66,31.68,76.54,32.97
15,TwoLaneHwy,PassingZone,1,1.799,---,---,1.799,70,424,283,0.95,4.2,446.3,---,1,79.66,81.3,76.95,84.17
16,TwoLaneHwy,PassingConstrained,1,0.8,---,---,0.8,70,424,361,0.95,4.2,446.3,---,1,79.66,36.15,76.53,37.63
17,TwoLaneHwy,PassingZone,1,1,---,---,1,70,471,314,0.95,4.2,495.8,---,1,79.66,45.19,76.75,46.91
18,TwoLaneHwy,PassingLane,2,2.4,---,---,2.4,70,471,314,0.95,4.2,495.8,---,1,79.66,108.46,79.36,108.87
18,---,---,Faster Lane,---,---,---,---,---,---,---,---,1.68,299.4,---,---,79.7,---,80.53,107.3
18,---,---,Slower Lane,---,---,---,---,---,---,---,---,8,196.4,---,---,79.5,---,77.58,111.37
19,TwoLaneHwy,PassingConstrained,1,0.2,---,---,0.2,70,471,314,0.95,4.2,495.8,---,1,79.66,9.04,76.38,9.43
20,TwoLaneHwy,PassingZone,1,2.6,---,---,2.6,70,471,314,0.95,4.2,495.8,---,1,79.66,117.5,76.72,122
21,TwoLaneHwy,PassingConstrained,1,0.8,---,---,0.8,70,471,314,0.95,4.2,495.8,---,1,79.66,36.15,76.35,37.72
22,TwoLaneHwy,PassingZone,1,0.8,---,---,0.8,55,471,314,0.95,4.2,495.8,---,1,62.56,46.04,60.23,47.81
23,TwoLaneHwy,PassingConstrained,1,0.6,---,---,0.6,70,471,314,0.95,4.2,495.8,---,1,79.66,27.12,76.36,28.29
24,TwoLaneHwy,PassingZone,1,2.6,---,---,2.6,70,471,314,0.95,4.2,495.8,---,1,79.66,117.5,76.72,122
25,TwoLaneHwy,PassingConstrained,1,0.9,---,---,0.9,70,471,314,0.95,4.2,495.8,---,1,79.66,40.67,76.35,42.44
26,TwoLaneHwy,PassingLane,2,1.402,---,---,1.402,55,471,314,0.95,4.2,495.8,---,1,62.56,80.68,62.14,81.22
26,---,---,Faster Lane,---,---,---,---,---,---,---,---,1.68,299.4,---,---,62.6,---,63.31,79.72
26,---,---,Slower Lane,---,---,---,---,---,---,---,---,8,196.4,---,---,62.4,---,60.36,83.62
27,TwoLaneHwy,PassingConstrained,1,0.701,---,---,0.701,70,471,314,0.95,4.2,495.8,---,1,79.66,31.68,76.36,33.05
28,TwoLaneHwy,PassingZone,1,0.9,---,---,0.9,70,471,314,0.95,4.2,495.8,---,1,79.66,40.67,76.75,42.21
29,TwoLaneHwy,PassingConstrained,1,0.301,---,---,0.301,70,471,314,0.95,4.2,495.8,---,1,79.66,13.6,76.38,14.19
30,TwoLaneHwy,PassingZone,1,0.398,---,---,0.398,55,471,314,0.95,4.2,495.8,---,1,62.56,22.9,60.25,23.78
31,TwoLaneHwy,PassingConstrained,1,0.6,---,---,0.6,70,419,357,0.95,3.6,441.1,---,1,79.68,27.11,76.58,28.21
