"Seg ID","% Followers","Density (pc/mi/ln)","Density (veh/mi/ln)","Follower Density (veh/mi/ln)","Adj. Follower Density (veh/mi/ln)","Avg. Thresh. Delay (s/veh)","Avg. Thresh. Delay (%)","Avg. FFS Delay (s/veh)","Avg. FFS Delay (%)","LOS","LOS Value","Demand/Capacity","Available Capacity (veh/h)","Momentum (vol x speed)","VMT","VHT","VHD"
1,36.9,---,3.9,1.5,1.5,0,0,0.4,3.2,A,0.73,0.179,1396,23458.2,87.3,1.13,0.035
2,37.6,---,5,1.9,1.9,0,0,0.7,2.6,A,0.94,0.179,1396,18539.6,153.8,2.52,0.063
3,57,---,8.7,5,5,0,0,0.3,4.5,C,2.24,0.306,1180,31128.8,52.2,0.87,0.038
4,60.1,---,10.6,6.4,6.4,0,0,0.3,4.7,C,2.28,0.306,1180,25428,52.2,1.07,0.048
5,58.2,---,10.6,6.2,6.2,0,0,1.7,4.7,C,2.24,0.306,1180,25416.8,261,5.34,0.24
6,61.5,---,13.7,8.4,8.4,0,0,1.3,4.9,C,2.69,0.306,1180,19718.7,155.6,4.1,0.192
7,62.1,---,19.3,12,12,0,0,0.5,5.3,D,3.4,0.306,1180,13992.9,37.3,1.39,0.07
8,---,---,---,---,---,25.4,371.1,26.1,381.1,D,3.11,0.781,147,2990.5,27.3,4.78,3.79
9,62.2,---,19.5,12.1,12.1,0,0,1.2,5.3,D,3.42,0.308,1177,14058.9,91.7,3.41,0.172
10,61.6,---,13.8,8.5,8.5,0,0,1.3,4.9,C,2.7,0.308,1177,19795.3,156.5,4.14,0.194
11,57.7,---,10.2,5.9,5.9,0,0,1.3,4.6,C,2.18,0.293,1202,24326.2,198,4.05,0.178
12,53.5,---,8.3,4.5,4.5,0,0,1.5,4.5,C,2.11,0.293,1202,29787.6,298.9,5,0.214
13,42.1,---,5.8,2.4,2.4,0,0,1.6,3.5,B,1.22,0.263,1254,34351.1,464.9,6.04,0.204
14,44,---,5.8,2.6,2.6,0,0,1.3,4.1,B,1.28,0.263,1254,34159.6,312.9,4.09,0.16
15,42.7,---,5.8,2.5,2.5,0,0,2.9,3.5,B,1.24,0.263,1254,34342.5,802.9,10.43,0.355
16,43.7,---,5.8,2.6,2.6,0,0,1.5,4.1,B,1.28,0.263,1254,34157.9,357.1,4.67,0.183
17,45.2,---,6.5,2.9,2.9,0,0,1.7,3.8,B,1.46,0.292,1204,38051.5,495.8,6.46,0.236
18,23.3,---,6.2,0.7,0.7,0,0,0.4,0.4,A,0.36,0.165,1004,39345.7,1189.9,15,0.057
18,26.9,---,3.7,1,---,---,---,---,---,---,---,---,---,---,718.59,8.924,-0.087
18,17.9,---,2.5,0.5,---,---,---,---,---,---,---,---,---,---,471.31,6.075,0.149
19,49.5,---,6.5,3.2,2.6,0,0,0.4,4.3,B,1.29,0.292,1204,37868.3,99.2,1.3,0.053
20,46.1,---,6.5,3,2.6,0,0,4.5,3.8,B,1.31,0.292,1204,38038.3,1289.1,16.8,0.62
21,46.6,---,6.5,3,2.7,0,0,1.6,4.3,B,1.35,0.292,1204,37854.6,396.6,5.19,0.216
22,50.3,---,8.2,4.1,3.7,0,0,1.8,3.9,B,1.87,0.292,1204,29863.6,396.6,6.58,0.245
23,47.2,---,6.5,3.1,2.8,0,0,1.2,4.3,B,1.39,0.292,1204,37858.7,297.5,3.9,0.161
24,46.1,---,6.5,3,2.8,0,0,4.5,3.8,B,1.39,0.292,1204,38038.3,1289.1,16.8,0.62
25,46.4,---,6.5,3,2.8,0,0,1.8,4.3,B,1.42,0.292,1204,37852.7,446.2,5.84,0.243
26,28.4,---,8,1.1,1.1,0,0,0.5,0.7,A,0.56,0.165,1004,30810.7,695.1,11.19,0.074
26,32.5,---,4.7,1.5,---,---,---,---,---,---,---,---,---,---,419.78,6.63,-0.071
26,22.2,---,3.3,0.7,---,---,---,---,---,---,---,---,---,---,275.32,4.561,0.151
27,46.8,---,6.5,3,2.4,0,0,1.4,4.3,B,1.22,0.292,1204,37856.6,347.5,4.55,0.189
28,45.3,---,6.5,2.9,2.5,0,0,1.5,3.8,B,1.23,0.292,1204,38053.1,446.2,5.81,0.212
29,49,---,6.5,3.2,2.7,0,0,0.6,4.3,B,1.35,0.292,1204,37866.6,149.2,1.95,0.081
30,51.9,---,8.2,4.3,3.7,0,0,0.9,3.8,B,1.85,0.292,1204,29871.9,197.3,3.28,0.121
31,44,---,5.8,2.5,2.2,0,0,1.1,4,B,1.11,0.259,1259,33775.4,264.6,3.46,0.134
32,46,---,6.4,2.9,2.7,0,0,6.4,3.8,B,1.37,0.289,1209,37638.4,1814.9,23.65,0.876
33,46.1,---,6.4,3,2.8,0,0,1.8,4.3,B,1.4,0.289,1209,37468.9,441.5,5.78,0.239
34,60.2,---,10.9,6.6,6.6,0,0,2.6,5.2,C,2.64,0.383,1049,38733.2,564.1,9.47,0.466
35,---,---,---,---,---,17.9,51,21.1,66.1,C,2.07,0.46,784,20260.4,298.2,10.01,3.985
36,---,8.8,---,---,---,0,0,0,0,A,0.8,0.226,3027,46476.3,328.6,6.26,0
37,---,---,---,---,---,20,75.1,22.4,92.7,C,2.16,0.55,639,20118.5,260.6,10.14,4.877
38,---,11.3,---,---,---,1.2,4.8,0,0,B,1.04,0.289,2798,59684.2,442.7,8.43,0
