"Seg ID","Hwy Seg Type","Two-Lane Seg Type","# Dir Lanes","Length (mi)","Eff. Len. Upstream (mi)","Eff. Len. Downstream (mi)","Adj. Length (mi)","Posted Speed (mi/h)","Dir Volume (veh/h)","Opp Volume (veh/h)","PHF","Dir Truck%","Analysis Flow Rate (veh/h/ln)","Analysis Flow Rate (pc/h/ln)","Vertical Align Class","FFS (mi/h)","Free-Flow Trav Time (s)","Avg Speed (mi/h)","Avg Travel Time (s)"
1,TwoLaneHwy,PassingConstrained,1,1.2867,---,---,1.3291,50,500,300,1,10,500,---,1,56.667,84.44,54.18,88.32
2,SigIntersection,---,1,0.48238635,0.1962,0.2722,0.4685,50,500,---,1,10,450,---,---,55,30.66,31.25,53.97
3,TwoLaneHwy,PassingZone,1,0.2239,---,---,0.1954,50,450,350,1,10,450,---,1,56.667,12.42,54.68,12.87
4,TwoLaneHwy,PassingConstrained,1,0.2705,---,---,0.1122,50,450,350,1,10,450,---,1,56.667,7.13,54.36,7.43
5,SigIntersection,---,1,0.09469697,0.1971,0.267,0.4641,50,450,---,1,10,405,---,---,55,30.38,32.05,52.13
6,TwoLaneHwy,PassingConstrained,1,0.2566,---,---,0.0455,50,500,400,1,10,500,---,1,56.667,2.89,54.22,3.02
7,TwoLaneHwy,PassingZone,1,1.1688,---,---,1.0736,55,500,400,1,10,500,---,1,62.367,61.97,59.99,64.43
8,SigIntersection,---,1,0.31174242,0.2357,0.3312,0.5669,55,500,---,1,10,475,---,---,60.5,33.73,42.26,48.29
9,TwoLaneHwy,PassingZone,1,0.7034,---,---,0.5568,55,550,400,1,11,550,---,1,62.333702,32.16,59.83,33.5
10,SigIntersection,---,1,0.5530303,0.2347,0.3049,0.5397,55,550,---,1,11,522,---,---,60.5,32.11,40.26,48.26
11,SigIntersection,---,1,0.5420455,0.2678,0.3358,0.6036,55,450,---,1,9,427,---,---,60.5,35.92,44.14,49.22
12,TwoLaneHwy,PassingZone,1,1.4634,---,---,1.5283,55,450,300,1,13,450,---,1,62.2671,88.36,60.09,91.56
13,SigIntersection,---,1,0.39204547,0.2372,0.3385,0.5757,55,450,---,1,13,450,---,---,60.5,34.26,42.58,48.68
14,TwoLaneHwy,PassingZone,1,0.5951,---,---,0.285,55,450,300,1,13,450,---,1,62.2671,16.48,60.13,17.06
15,TwoLaneHwy,PassingConstrained,1,0.3765,---,---,0.3765,55,450,300,1,15,450,---,1,62.2005,21.79,59.69,22.71
16,TwoLaneHwy,PassingZone,1,2.5839,---,---,2.5839,55,450,300,1,15,450,---,1,62.2005,149.55,60.02,154.99
17,TwoLaneHwy,PassingConstrained,1,0.1146,---,---,0.1146,55,550,450,1,16,550,---,1,62.167202,6.64,59.39,6.95
18,TwoLaneHwy,PassingZone,1,0.6572,---,---,0.6572,55,550,450,1,16,550,---,1,62.167202,38.06,59.64,39.67
19,TwoLaneHwy,PassingConstrained,1,0.2392,---,---,0.0604,55,550,450,1,16,550,---,1,62.167202,3.5,59.39,3.66
20,SigIntersection,---,2,0.14696969,0.2328,0.093,0.3258,55,600,---,1,16,600,---,---,60.5,19.38,30.93,37.92
21,SigIntersection,---,2,0.13901515,0.0686,0.0705,0.139,55,600,---,1,16,540,---,---,60.5,8.27,23.49,21.31
22,SigIntersection,---,1,0.3030303,0.2746,0.336,0.6106,55,450,---,1,16,450,---,---,60.5,36.33,42.87,51.27
23,TwoLaneHwy,PassingConstrained,1,2.2153,---,---,1.9077,55,600,550,1,7,600,---,1,62.4669,109.94,59.48,115.46
24,TwoLaneHwy,PassingZone,1,0.3847,---,---,0.3847,55,600,550,1,7,600,---,1,62.4669,22.17,59.77,23.17
25,TwoLaneHwy,PassingConstrained,1,0.4905,---,---,0.4905,55,600,550,1,7,600,---,1,62.4669,28.27,59.53,29.66
26,TwoLaneHwy,PassingConstrained,1,0.8589,---,---,0.749,50,600,550,1,7,600,---,1,56.7669,47.5,54.05,49.88
27,SigIntersection,---,1,0.16647728,0.1946,0.0718,0.2663,35,600,---,1,7,540,---,---,38.5,24.9,18.69,51.3
28,TwoLaneHwy,PassingConstrained,1,0.3275,---,---,0.2829,35,750,600,1,6,750,---,1,39.700203,25.65,37.47,27.17
29,SigIntersection,---,1,0.0782197,0.0814,0,0.1329,35,750,---,1,6,712,---,---,38.5,12.43,13.1,36.51
