"Seg ID","% Followers","Density (pc/mi/ln)","Density (veh/mi/ln)","Follower Density (veh/mi/ln)","Adj. Follower Density (veh/mi/ln)","Avg. Thresh. Delay (s/veh)","Avg. Thresh. Delay (%)","Avg. FFS Delay (s/veh)","Avg. FFS Delay (%)","LOS","LOS Value","Demand/Capacity","Available Capacity (veh/h)","Momentum (vol x speed)","VMT","VHT","VHD"
1,54.3,---,9.2,5,5,0,0,3.9,4.6,C,2.25,0.294,1200,27088.8,664.6,12.27,0.539
2,---,---,---,---,---,20.2,60,23.3,76,C,2.22,0.62,277,14060.3,210.8,6.75,2.914
3,51.9,---,8.2,4.3,4.3,0,0,0.5,3.6,C,2.07,0.265,1250,24607.5,87.9,1.61,0.056
4,54.9,---,8.3,4.5,4.5,0,0,0.3,4.3,C,2.14,0.265,1250,24460.1,50.5,0.93,0.038
5,---,---,---,---,---,18.7,56,21.8,71.6,C,2.12,0.56,322,12980.8,188,5.86,2.447
6,57.7,---,9.2,5.3,5.3,0,0,0.1,4.5,C,2.33,0.294,1200,27111.7,22.7,0.42,0.018
7,50.6,---,8.3,4.2,4.2,0,0,2.5,4,C,2.05,0.294,1200,29994.3,536.8,8.95,0.341
8,---,---,---,---,---,11.2,30.2,14.6,43.2,B,1.46,0.59,326,20071.7,269.3,6.37,1.922
9,54.4,---,9.2,5,5,0,0,1.3,4.2,C,2.25,0.324,1150,32908.2,306.2,5.12,0.205
10,---,---,---,---,---,12.9,36.6,16.1,50.3,B,1.61,0.66,270,21013.7,281.7,7,2.342
11,---,---,---,---,---,9.7,24.6,13.3,37,B,1.33,0.53,383,18849.8,257.7,5.84,1.578
12,47.3,---,7.5,3.5,3.5,0,0,3.2,3.6,B,1.77,0.265,1250,27041,687.7,11.45,0.4
13,---,---,---,---,---,11,29.2,14.4,42.1,B,1.44,0.58,324,19159.7,259.1,6.08,1.803
14,50,---,7.5,3.7,3.7,0,0,0.6,3.5,B,1.87,0.265,1250,27060,128.2,2.13,0.073
15,52,---,7.5,3.9,3.9,0,0,0.9,4.2,B,1.96,0.265,1250,26859.6,169.4,2.84,0.115
16,48.1,---,7.5,3.6,3.6,0,0,5.4,3.6,B,1.8,0.265,1250,27007.2,1162.8,19.37,0.68
17,58.6,---,9.3,5.4,5.4,0,0,0.3,4.7,C,2.36,0.324,1150,32662.8,63,1.06,0.047
18,54.2,---,9.2,5,5,0,0,1.6,4.2,C,2.25,0.324,1150,32804.3,361.5,6.06,0.246
19,58.6,---,9.3,5.4,5.4,0,0,0.2,4.7,C,2.36,0.324,1150,32662.8,33.2,0.56,0.025
20,---,---,---,---,---,16.6,77.8,18.5,95.6,B,1.85,0.44,763,18556.5,195.5,6.32,3.089
21,---,---,---,---,---,12.2,134.2,13,157.6,B,1.3,0.4,821,12682.2,75.1,3.2,1.956
22,---,---,---,---,---,11.3,28.3,14.9,41.1,B,1.49,0.6,299,19293.3,274.8,6.41,1.867
23,58.3,---,10.1,5.9,5.9,0,0,5.5,5,C,2.47,0.353,1100,35689.1,1144.6,19.24,0.92
24,58.4,---,10,5.9,5.9,0,0,1,4.5,C,2.47,0.353,1100,35862.9,230.8,3.86,0.167
25,59.1,---,10.1,6,6,0,0,1.4,4.9,C,2.49,0.353,1100,35720.6,294.3,4.94,0.232
26,59.8,---,11.1,6.6,6.6,0,0,2.4,5,C,2.66,0.353,1100,32431.8,449.4,8.31,0.397
27,---,---,---,---,---,23.9,87.2,26.4,106,C,2.43,0.72,213,10093.7,143.8,7.69,3.959
28,70.7,---,20,14.2,14.2,0,0,1.5,5.9,D,3.83,0.441,950,28105.7,212.2,5.66,0.317
29,---,---,---,---,---,22.8,167.1,24.1,193.8,C,2.27,0.85,127,9330.1,94.6,7.22,4.763
