"Location ID","Milepost","Location Description","Approx. Location","Sensor Type","Measurements Taken"
1510,90.93,East of Camp Sherman Road [0.02 miles], 44.39231654565157 / -121.67338874012762 ,Tube, Volume
09014 / 1511 / 10277 ,93.12,South of Black Butte Ranch Road [0.31 miles] , 44.375526013439476 / -121.63764220856667 ,ATR / Tube / Tube, Volume / Speed / Classification
45996,99.86,North of Barclay Drive [0.10 miles], 44.296843345987945 / -121.56058561113825,Tube, Volume
1512,100.05,South of Barclay Drive [0.10 miles], 44.29467798102656 / -121.55868520507897,Tube, Volume
1445,92.07, East of Hood Street [0.05 miles], 44.29320058 / -121.5574559,Tube, Volume
1446,92.52, East of Elm Street [0.01 miles], 44.29132771 / -121.5494631,Tube, Volume
1447,92.85, East of Locust Street [0.02 miles], 44.29005454 / -121.5435868,Tube, Volume
1513,0.25,SE of McKenzie Highway (OR126) [0.25 miles], 44.2860881162108 / -121.53554578781313,Tube, Volume
09015 / 4754 / 10278,9.25,NW of Innes Market Road [0.47 miles] , 44.20131492483193 / -121.40461068464627,ATR / Tube / Tube, Volume / Speed / Classification
1515,14.66,NW of Cline Falls Highway (O.B. Riley Road) [0.02 miles], 44.146066393542846 / -121.33165057774572,Tube, Volume
