"Seg ID","Hwy Seg Type","Two-Lane Seg Type","# Dir Lanes","Length (mi)","Eff. Len. Upstream (mi)","Eff. Len. Downstream (mi)","Adj. Length (mi)","Posted Speed (mi/h)","Dir Volume (veh/h)","Opp Volume (veh/h)","PHF","Dir Truck%","Analysis Flow Rate (veh/h/ln)","Analysis Flow Rate (pc/h/ln)","Vertical Align Class","FFS (mi/h)","Free-Flow Trav Time (s)","Avg Speed (mi/h)","Avg Travel Time (s)"
1,TwoLaneHwy,PassingConstrained,1,0.1907,---,---,0.1907,55,350,250,1,7,350,---,1,62.4669,10.99,60.28,11.39
2,TwoLaneHwy,PassingZone,1,1.5674,---,---,1.5674,55,350,250,1,7,350,---,1,62.4669,90.33,60.67,93.01
3,TwoLaneHwy,PassingConstrained,1,0.9063,---,---,0.9063,55,350,250,1,7,350,---,1,62.4669,52.23,60.26,54.15
4,TwoLaneHwy,PassingConstrained,1,1.5644,---,---,1.5644,55,400,250,1,7,400,---,1,62.4669,90.16,60.06,93.77
5,TwoLaneHwy,PassingConstrained,1,0.5263,---,---,0.5263,55,400,250,1,7,400,---,3,61.377758,30.87,58.05,32.64
6,TwoLaneHwy,PassingConstrained,1,3.5265,---,---,3.5265,55,400,250,1,7,400,---,1,62.4669,203.23,60.03,211.48
7,TwoLaneHwy,PassingZone,1,0.9676,---,---,0.9676,55,400,250,1,7,400,---,1,62.4669,55.76,60.5,57.58
8,TwoLaneHwy,PassingConstrained,1,0.4123,---,---,0.3893,35,400,250,1,7,400,---,1,39.6669,35.33,38.05,36.83
9,Roundabout,---,1,0.15094697,0.1064,0.0974,0.2038,35,400,---,1,5,400,---,---,38.5,19.05,27.18,26.99
10,TwoLaneHwy,PassingConstrained,1,0.2831,---,---,0.2533,35,600,400,1,7,600,---,1,39.6669,22.99,37.68,24.21
11,Arterial,---,1,0.76704544,0,0,0.767,20,600,---,1,7,600,---,---,32.27,85.56,30.59,90.26
12,TwoLaneHwy,PassingConstrained,1,0.2765,---,---,0.2765,35,600,500,1,6,600,---,1,39.700203,25.07,37.71,26.4
13,TwoLaneHwy,PassingConstrained,1,0.1788,---,---,0.1788,45,600,500,1,6,600,---,1,51.1002,12.6,48.64,13.23
14,TwoLaneHwy,PassingZone,1,0.3477,---,---,0.3477,55,600,500,1,6,600,---,1,62.500202,20.03,59.83,20.92
15,TwoLaneHwy,PassingConstrained,1,0.5652,---,---,0.5652,55,600,500,1,6,600,---,1,62.500202,32.56,59.56,34.16
16,TwoLaneHwy,PassingZone,1,0.9915,---,---,0.9915,55,600,500,1,6,600,---,1,62.500202,57.11,59.8,59.69
17,TwoLaneHwy,PassingConstrained,1,0.7856,---,---,0.7856,55,600,500,1,6,600,---,1,62.500202,45.25,58.31,48.5
18,TwoLaneHwy,PassingZone,1,0.765,---,---,0.765,55,600,500,1,6,600,---,1,62.500202,44.06,59.8,46.05
19,TwoLaneHwy,PassingConstrained,1,1.268,---,---,1.268,55,600,500,1,6,600,---,1,62.500202,73.04,59.53,76.68
20,TwoLaneHwy,PassingZone,1,0.292,---,---,0.292,55,600,500,1,6,600,---,1,62.500202,16.82,59.83,17.57
21,TwoLaneHwy,PassingConstrained,1,0.1277,---,---,0.1277,55,600,500,1,6,600,---,1,62.500202,7.36,59.58,7.72
22,TwoLaneHwy,PassingZone,1,0.3771,---,---,0.3771,55,600,500,1,6,600,---,1,62.500202,21.72,59.82,22.69
23,TwoLaneHwy,PassingConstrained,1,0.2331,---,---,0.2331,55,600,500,1,6,600,---,1,62.500202,13.43,59.58,14.08
24,TwoLaneHwy,PassingLane,2,1.1583,---,---,1.1583,55,600,500,1,6,600,---,1,62.500202,66.72,61.62,67.67
24,---,---,Faster Lane,---,---,---,---,---,---,---,---,2.4,353.9,---,---,62.6,---,62.92,66.28
24,---,---,Slower Lane,---,---,---,---,---,---,---,---,11.2,246.1,---,---,62.3,---,59.75,69.79
25,TwoLaneHwy,PassingConstrained,1,0.5909,---,---,0.5909,55,600,500,1,6,600,---,1,62.500202,34.04,59.56,35.72
26,TwoLaneHwy,PassingZone,1,1.4561,---,---,1.4561,55,600,500,1,6,600,---,1,62.500202,83.87,59.78,87.69
27,TwoLaneHwy,PassingConstrained,1,0.8598,---,---,0.8598,55,600,500,1,6,600,---,1,62.500202,49.52,59.55,51.98
28,TwoLaneHwy,PassingLane,2,1.2847,---,---,1.2847,55,600,500,1,6,600,---,2,62.22087,74.33,61.49,75.22
28,---,---,Faster Lane,---,---,---,---,---,---,---,---,2.4,353.9,---,---,62.5,---,62.96,73.46
28,---,---,Slower Lane,---,---,---,---,---,---,---,---,11.2,246.1,---,---,61.8,---,59.36,77.91
29,TwoLaneHwy,PassingConstrained,1,1.4045,---,---,1.4045,55,600,500,1,6,600,---,1,62.500202,80.9,59.53,84.94
30,TwoLaneHwy,PassingZone,1,0.4125,---,---,0.4125,55,600,500,1,6,600,---,1,62.500202,23.76,59.82,24.82
31,TwoLaneHwy,PassingConstrained,1,1.0356,---,---,1.0356,55,600,500,1,6,600,---,3,61.56665,60.55,56.58,65.89
32,TwoLaneHwy,PassingConstrained,1,0.1277,---,---,0.1277,55,600,500,1,6,600,---,1,62.500202,7.36,59.58,7.72
33,TwoLaneHwy,PassingConstrained,1,0.26,---,---,0.26,45,900,750,1,6,900,---,1,51.1002,18.32,48.11,19.45
