"Seg ID","Hwy Seg Type","Two-Lane Seg Type","# Dir Lanes","Length (mi)","Eff. Len. Upstream (mi)","Eff. Len. Downstream (mi)","Adj. Length (mi)","Posted Speed (mi/h)","Dir Volume (veh/h)","Opp Volume (veh/h)","PHF","Dir Truck%","Analysis Flow Rate (veh/h/ln)","Analysis Flow Rate (pc/h/ln)","Vertical Align Class","FFS (mi/h)","Free-Flow Trav Time (s)","Avg Speed (mi/h)","Avg Travel Time (s)"
1,MultilaneHwy,---,2,0.3509,---,---,0.3509,55,1000,---,1,8,1000,540,---,58.2,21.71,58.2,21.71
2,MultilaneHwy,---,2,0.8417,---,---,0.8417,55,1000,---,1,8,1000,540,---,57.5,52.7,57.5,52.7
3,MultilaneHwy,---,2,0.2873,---,---,0.2155,55,1000,---,1,8,1000,580,---,57.5,13.49,57.5,13.49
4,SigIntersection,---,2,0.15151516,0.1475,0.2724,0.42,55,1000,---,1,8,900,---,---,60.5,24.99,32.84,46.04
5,MultilaneHwy,---,2,0.4621,---,---,0.2654,55,1000,---,1,8,1000,580,---,57.5,16.62,57.5,16.62
6,MultilaneHwy,---,2,0.1699,---,---,0.1699,55,750,---,1,8,750,435,---,57.5,10.64,57.5,10.64
7,MultilaneHwy,---,2,0.2708,---,---,0.2708,55,2050,---,1,8,2050,1189,---,57.5,16.95,57.5,16.95
8,MultilaneHwy,---,2,0.4159,---,---,0.4159,55,1150,---,1,8,1150,667,---,57.5,26.04,57.5,26.04
9,MultilaneHwy,---,2,0.6256,---,---,0.5065,55,1550,---,1,4,1550,806,---,57.5,31.71,57.5,31.71
10,SigIntersection,---,2,0.056818184,0.1475,0.267,0.4145,55,1450,---,1,4,1378,---,---,60.5,24.66,27.31,54.64
11,MultilaneHwy,---,2,0.6381,---,---,0.3996,55,1450,---,1,4,1450,754,---,57.5,25.02,57.5,25.02
12,MultilaneHwy,---,2,0.3021,---,---,0.3021,55,1150,---,1,4,1150,621,---,57.5,18.91,57.5,18.91
13,MultilaneHwy,---,2,1.0184,---,---,1.0184,55,1250,---,1,4,1250,675,---,57.5,63.76,57.5,63.76
14,MultilaneHwy,---,2,0.2538,---,---,0.2538,55,1250,---,1,4,1250,675,---,57.5,15.89,57.5,15.89
15,MultilaneHwy,---,2,3.1742,---,---,3.1742,55,1100,---,1,6,1100,616,---,57.5,198.73,57.5,198.73
16,MultilaneHwy,---,2,1.5483,---,---,1.5483,55,1000,---,1,6,1000,560,---,57.5,96.94,57.5,96.94
17,MultilaneHwy,---,2,0.1604,---,---,0.1604,55,1000,---,1,6,1000,560,---,57.5,10.04,57.5,10.04
18,MultilaneHwy,---,2,0.2239,---,---,0.2239,55,1000,---,1,6,1000,560,---,57.5,14.02,57.5,14.02
19,MultilaneHwy,---,2,0.4034,---,---,0.4034,55,850,---,1,6,850,450.5,---,57.5,25.26,57.5,25.26
20,MultilaneHwy,---,2,1.5398,---,---,1.5398,55,850,---,1,6,850,450.5,---,57.5,96.4,57.5,96.4
21,MultilaneHwy,---,2,0.6638,---,---,0.6638,55,750,---,1,6,750,420,---,57.5,41.56,57.5,41.56
22,MultilaneHwy,---,2,1.0502,---,---,1.0502,55,750,---,1,6,750,420,---,57.5,65.75,57.5,65.75
23,MultilaneHwy,---,2,0.5455,---,---,0.4663,45,750,---,1,6,750,420,---,49.5,33.92,49.5,33.92
24,SigIntersection,---,2,0.056818184,0.1076,0.1894,0.2969,45,750,---,1,14,712,---,---,49.5,21.6,26.02,41.07
25,MultilaneHwy,---,2,0.7652,---,---,0.5251,45,850,---,1,14,850,484.5,---,49.5,38.19,49.5,38.19
26,SigIntersection,---,2,0.2651515,0.1076,0.1894,0.2969,45,850,---,1,14,807,---,---,49.5,21.6,25.33,42.21
27,MultilaneHwy,---,2,1.0824,---,---,1.0782,45,850,---,1,14,850,484.5,---,49.5,78.42,49.5,78.42
28,SigIntersection,---,2,0.042613637,0.0942,0.0489,0.1431,45,850,---,1,14,807,---,---,49.5,10.4,16.6,31.01
29,Arterial,---,2,1.0236742,0,0,0.9748,30,800,---,1,9,950,---,---,37.33,98.72,25.21,146.16
30,TwoLaneHwy,PassingConstrained,1,0.6881,---,---,0.6881,45,700,400,1,9,700,---,1,51.000298,48.57,48.33,51.26
31,TwoLaneHwy,PassingZone,1,0.4337,---,---,0.398,45,700,400,1,9,700,---,1,51.000298,28.1,48.6,29.48
