"Seg ID","% Followers","Density (pc/mi/ln)","Density (veh/mi/ln)","Follower Density (veh/mi/ln)","Adj. Follower Density (veh/mi/ln)","Avg. Thresh. Delay (s/veh)","Avg. Thresh. Delay (%)","Avg. FFS Delay (s/veh)","Avg. FFS Delay (%)","LOS","LOS Value","Demand/Capacity","Available Capacity (veh/h)","Momentum (vol x speed)","VMT","VHT","VHD"
1,---,9.3,---,---,---,0,0,0,0,A,0.84,0.25,3007,58200,350.9,6.03,0
2,---,9.4,---,---,---,0,0,0,0,A,0.85,0.251,2981,57500,841.7,14.64,0
3,---,10.1,---,---,---,0,0,0,0,A,0.92,0.27,2707,57500,215.5,3.75,0
4,---,---,---,---,---,18.6,67.5,21.1,84.2,C,2.07,0.6,589,29554.1,378,11.51,5.263
5,---,10.1,---,---,---,0,0,0,0,A,0.92,0.27,2707,57500,265.4,4.62,0
6,---,7.6,---,---,---,0,0,0,0,A,0.69,0.202,2957,43125,127.4,2.22,0
7,---,20.7,---,---,---,0,0,0,0,C,2.33,0.553,1657,117875,555.1,9.65,0
8,---,11.6,---,---,---,0,0,0,0,B,1.09,0.31,2557,66125,478.3,8.32,0
9,---,14,---,---,---,0,0,0,0,B,1.43,0.375,2585,89125,785,13.65,0
10,---,---,---,---,---,27.5,101.4,30,121.5,C,2.66,0.87,199,37635.2,571.2,20.91,11.472
11,---,13.1,---,---,---,0,0,0,0,B,1.3,0.351,2685,83375,579.4,10.08,0
12,---,10.8,---,---,---,0,0,0,0,A,0.98,0.289,2831,66125,347.4,6.04,0
13,---,11.7,---,---,---,0,0,0,0,B,1.11,0.314,2731,71875,1273,22.14,0
14,---,11.7,---,---,---,0,0,0,0,B,1.11,0.314,2731,71875,317.3,5.52,0
15,---,10.7,---,---,---,0,0,0,0,A,0.97,0.287,2739,63250,3491.6,60.72,0
16,---,9.7,---,---,---,0,0,0,0,A,0.89,0.26,2839,57500,1548.3,26.93,0
17,---,9.7,---,---,---,0,0,0,0,A,0.89,0.26,2839,57500,160.4,2.79,0
18,---,9.7,---,---,---,0,0,0,0,A,0.89,0.26,2839,57500,223.9,3.89,0
19,---,7.8,---,---,---,0,0,0,0,A,0.71,0.21,3207,48875,342.9,5.96,0
20,---,7.8,---,---,---,0,0,0,0,A,0.71,0.21,3207,48875,1308.8,22.76,0
21,---,7.3,---,---,---,0,0,0,0,A,0.66,0.195,3089,43125,497.9,8.66,0
22,---,7.3,---,---,---,0,0,0,0,A,0.66,0.195,3089,43125,787.7,13.7,0
23,---,8.5,---,---,---,0,0,0,0,A,0.77,0.211,2804,37125,349.8,7.07,0
24,---,---,---,---,---,17.3,72.9,19.5,90.2,B,1.95,0.51,692,18529.5,211.4,8.12,3.853
25,---,9.8,---,---,---,0,0,0,0,A,0.89,0.243,2641,42075,446.3,9.02,0
26,---,---,---,---,---,18.5,77.7,20.6,95.4,C,2.04,0.57,597,20439,239.6,9.46,4.62
27,---,9.8,---,---,---,0,0,0,0,A,0.89,0.243,2641,42075,916.5,18.51,0
28,---,---,---,---,---,19.6,171,20.6,198.1,C,2.04,0.57,597,13399.9,115.4,6.95,4.62
29,---,---,---,---,---,23.3,19,47.4,48.1, ,1.46,0,0,23953.4,972.5,38.57,12.518
30,65.5,---,14.5,9.5,9.5,0,0,2.7,5.5,C,2.9,0.412,1000,33829.4,481.7,9.97,0.522
31,64.1,---,14.4,9.2,9.2,0,0,1.4,4.9,C,2.85,0.412,1000,34020.9,278.6,5.73,0.27
32,---,---,---,---,---,44.5,154.8,47.1,180.3,D,3.61,0.95,37,12362.7,251.6,14.24,9.162
33,65,---,14.4,9.4,9.4,0,0,1,4.9,C,2.87,0.412,1000,34026.7,194.9,4.01,0.188
34,67.9,---,14.5,9.8,9.8,0,0,0.9,5.5,C,2.97,0.412,1000,33848.6,155.1,3.21,0.166
35,65.3,---,14.4,9.4,9.4,0,0,0.8,4.9,C,2.88,0.412,1000,34028.2,167.6,3.45,0.161
36,67.9,---,14.5,9.8,9.8,0,0,0.7,5.5,C,2.97,0.412,1000,33848.6,128.6,2.66,0.138
37,64.9,---,14.4,9.4,9.4,0,0,1,4.9,C,2.87,0.412,1000,34026.4,198.5,4.08,0.191
38,68.3,---,16.3,11.2,11.2,0,0,1.3,5.6,D,3.23,0.412,1000,30030.5,210.8,4.91,0.26
39,---,8.6,---,---,---,0,0,0,0,A,0.78,0.202,2768,31150,424.1,9.53,0
40,---,---,---,---,---,16.8,88.5,18.6,107.3,B,1.86,0.45,820,14111.7,140.5,6.62,3.427
41,---,8.6,---,---,---,0,0,0,0,A,0.78,0.202,2768,31150,157.8,3.55,0
