Seg ID,From/To,Hwy Seg Type,Two-Lane Seg Type,# Dir Lanes,Length (ft),Length (mi),Grade (%),Terrain,Vertical Align Class,Posted Speed (mi/h),Dir Volume (veh/h),Dir Truck%,Opp Volume (veh/h),Opp Truck%,PHF
1,'Maple St - Oak St,MultilaneHwy,---,2,5280,1.0000,2,Level,NA,55,1100.0,0.0,NA,NA,0.950
2,' - ,MultilaneHwy,---,2,5280,1.0000,1,Level,NA,55,1100.0,2.0,NA,NA,0.950
3,Main,SigIntersection,---,2,1750,0.3314,0,NA,NA,35,960.0,0.0,NA,NA,1.000
4,'Third St - Fourth St,TwoLaneHwy,PassingConstrained,1,3960,0.7500,3,NA,2,55,700.0,3.0,400.0,2.5,0.950
5,' - ,TwoLaneHwy,PassingLane,2,5280,1.0000,3,NA,2,55,700.0,3.0,400.0,2.5,0.950
6,' - ,TwoLaneHwy,PassingConstrained,1,6600,1.2500,0,NA,1,55,700.0,0.0,400.0,0.0,0.950
7,' - ,TwoLaneHwy,PassingZone,1,7920,1.5000,0,NA,1,55,700.0,0.0,400.0,0.0,0.950
8,Broadway,SigIntersection,---,2,2000,0.3788,0,NA,NA,40,740.0,2.0,NA,NA,1.000
9,' - ,MultilaneHwy,---,2,10560,2.0000,2,Level,NA,55,1040.0,0.0,NA,NA,0.950
10,' - ,MultilaneHwy,---,2,15840,3.0000,0,Level,NA,55,1040.0,5.0,NA,NA,0.950
11,Oak St,SigIntersection,---,2,1000,0.1894,0,NA,NA,35,865.0,5.0,NA,NA,1.000
12,' - ,TwoLaneHwy,PassingConstrained,1,5280,1.0000,2,NA,1,55,720.0,5.0,400.0,0.0,0.950
13,First Ave,Roundabout,---,1,1000,0.1894,0,NA,NA,35,720.0,5.0,475,5.0,0.950
14,' - ,TwoLaneHwy,PassingZone,1,10560,2.0000,2,NA,1,55,600.0,5.0,450.0,0.0,0.950
15,Second Ave,AWSCIntersection,---,1,1000,0.1894,0,NA,NA,35,600.0,3.0,385,3.0,0.950
16,' - ,TwoLaneHwy,PassingConstrained,1,7920,1.5000,2,NA,1,55,650.0,5.0,550.0,0.0,0.950
